country,number_of_sports,total_medals,total_medal_score,best_sport,num_athletes
USA,27,291,1024,Swimming,254
ROC,20,147,494,Fencing,128
CHN,20,144,511,Diving,118
FRA,16,136,505,Handball,129
JPN,19,131,507,Baseball/Softball,114
AUS,19,128,391,Swimming,98
GBR,23,128,407,Swimming,109
CAN,10,82,287,Football,71
GER,16,77,233,Judo,71
ITA,19,73,217,Fencing,66
NED,13,70,257,Hockey,63
ESP,14,70,196,Football,70
NZL,11,65,245,Rugby Sevens,61
BRA,13,55,214,Football,54
HUN,10,51,136,Water Polo,46
ARG,3,43,104,Hockey,43
KOR,8,38,125,Fencing,34
SRB,7,35,116,Water Polo,35
SWE,5,33,109,Football,32
DOM,3,32,71,Baseball/Softball,31
POL,5,32,108,Athletics,26
DEN,8,31,96,Handball,29
UKR,12,29,68,Artistic Swimming,24
MEX,4,27,54,Football,27
FIJ,1,26,91,Rugby Sevens,26
BEL,6,26,113,Hockey,26
IND,6,24,53,Hockey,24
NOR,6,23,63,Handball,23
JAM,1,19,66,Athletics,14
TPE,10,16,47,Archery,16
GRE,4,16,51,Water Polo,16
SUI,7,15,44,Cycling Mountain Bike,13
CUB,7,15,54,Boxing,15
ISR,4,14,34,Judo,14
TUR,6,13,34,Karate,13
CZE,7,13,45,Tennis,13
CRO,5,11,41,Tennis,11
BUL,5,10,42,Rhythmic Gymnastics,10
KEN,1,10,36,Athletics,10
BLR,5,10,29,Canoe Sprint,10
ROU,2,9,31,Rowing,9
IRL,2,8,25,Rowing,8
GEO,3,8,27,Judo,8
HKG,5,8,21,Table Tennis,7
KAZ,5,8,16,Boxing,8
IRI,4,7,25,Wrestling,7
SVK,4,7,19,Canoe Sprint,7
AUT,6,7,18,Judo,7
AZE,4,7,17,Wrestling,7
INA,2,6,19,Badminton,6
EGY,4,6,16,Karate,6
SLO,4,5,20,Cycling Road,5
EST,1,5,22,Fencing,4
UZB,5,5,19,Boxing,5
COL,3,5,14,Athletics,5
LAT,2,5,22,3x3 Basketball,5
SMR,2,4,10,Shooting,3
UGA,1,4,15,Athletics,3
QAT,3,4,14,Beach Volleyball,4
POR,3,4,12,Athletics,4
PHI,2,4,13,Boxing,4
Unknown,1,4,8,Unknown,4
VEN,3,4,14,Weightlifting,4
ARM,4,4,10,Artistic Gymnastics,4
BOT,1,4,8,Athletics,4
MGL,2,4,9,Judo,4
ETH,1,4,12,Athletics,4
ECU,2,3,13,Weightlifting,3
MAS,2,3,7,Badminton,3
KGZ,1,3,8,Wrestling,3
RSA,2,3,11,Swimming,2
JOR,2,2,5,Karate,2
TUN,2,2,8,Swimming,2
KOS,1,2,10,Judo,2
FIN,2,2,4,Boxing,2
THA,2,2,7,Boxing,2
BAH,1,2,10,Athletics,2
NGR,2,2,5,Athletics,2
BRN,1,1,3,Athletics,1
BUR,1,1,2,Athletics,1
GHA,1,1,2,Boxing,1
TKM,1,1,3,Weightlifting,1
NAM,1,1,3,Athletics,1
SYR,1,1,2,Weightlifting,1
GRN,1,1,2,Athletics,1
BER,1,1,5,Triathlon,1
MKD,1,1,3,Taekwondo,1
KSA,1,1,3,Karate,1
KUW,1,1,2,Shooting,1
LTU,1,1,3,Modern Pentathlon,1
PUR,1,1,5,Athletics,1
MAR,1,1,5,Athletics,1
MDA,1,1,2,Canoe Sprint,1
CIV,1,1,2,Taekwondo,1
